Patch;Eclairage;L;a;b
Patch 12;G1;55.71486115771786;-24.21250452491802;4.583616539692992
Patch 12;G2;53.60849112682364;-23.43376208229403;-1.095964487994916
Patch 12;L;45.51350893768096;-35.252677628642424;-7.351282147952554
Patch 12;OR;30.820092096074895;-0.5992006064177435;-0.4222350267223951
Patch 12;PC_A;35.365728879244124;-9.808137450683208;3.1624028956926065
Patch 12;R1;30.9037951135939;-0.2081399583774568;1.711237058603332
Patch 12;R2;31.730059948076217;0.04796801140261042;3.011732801931488
Patch 12;RB1;29.79435084490057;-13.23137915314579;5.300499825578009
Patch 12;RB2;32.19566410090735;-21.65901490673969;8.496137224247057
Patch 12;V1;40.7718232060824;-60.30962014938041;24.620018419389744
Patch 12;V2;33.83532915626262;-31.4545527805756;12.76024496742847
Patch 13;B1;54.759181430285;-22.51607493903196;7.896066512082034
Patch 13;B2;57.30397325909291;-27.906494280685756;9.008985878907328
Patch 13;C;60.108573584035;-33.515347326964985;3.278432585311708
Patch 13;DR1;28.848469523342807;-0.5052845631040859;-34.37624303710385
Patch 13;DR2;29.674581324909262;-3.8434394967593875;-34.21747955025087
Patch 13;FR1;31.155303787238275;-8.392296429697216;-32.28625949110264
Patch 13;FR2;39.215710132907574;-29.72855574317493;-18.275133844354187
Patch 13;FR3;39.673359118302365;-29.922903725934923;-16.79442496391421
Patch 13;G1;57.305160561606996;-33.986460006738106;-5.746555902002082
Patch 13;G2;53.54646135127929;-30.68776492616815;-10.644207976815935
Patch 13;L;44.02360006338377;-43.314171831840746;-23.037395634764835
Patch 13;OR;26.811719381446125;-0.5333702540788465;-25.194871302452682
Patch 13;PC_A;31.423929661162695;-10.47335734394822;-27.940011228465334
Patch 13;R1;26.93809828105404;-0.18431510739660983;-30.689136956249342
Patch 13;R2;27.704701422614356;-0.0060952630481503345;-34.736197375969404
Patch 13;RB1;48.40189122328414;-4.510837275091606;1.6458201881547563
Patch 13;RB2;50.228523028046396;-9.290446624687032;3.394030033608919
Patch 13;V1;48.17568749038546;-18.254313489285245;6.8357656747144
Patch 13;V2;46.93644229919617;-5.876233008478171;2.1539377752145095
Patch 14;B1;73.02916068818966;11.84431515879697;-4.98362388394562
Patch 14;B2;71.318257505571;14.819025504550776;-6.762049697977224
Patch 14;C;65.37647958095725;-12.879624639391963;-12.448023911502105
Patch 14;DR1;31.34589167368408;-0.3056465408515785;-75.7197715762211
Patch 14;DR2;32.1618918145453;-3.220724702106631;-73.65282053879598
Patch 14;FR1;33.65953031975606;-7.2935732331155805;-70.26620956480222
Patch 14;FR2;41.7326630147709;-21.39091507834584;-56.47637980917083
Patch 14;FR3;42.161997039277125;-19.589162246772318;-55.009574504909175
Patch 14;G1;59.247253989352956;-34.57000197534571;-16.46747293568316
Patch 14;G2;54.71059382730314;-30.713083023068744;-19.62969142195572
Patch 14;L;45.48551849261403;-41.30243660063723;-38.82105075398867
Patch 14;OR;29.027725610286332;-0.5297410606490693;-54.21358442132082
Patch 14;PC_A;33.33740417473109;-9.156134749038952;-64.27665337227926
Patch 14;R1;29.148885783971203;-0.1601018282592348;-66.69918280664115
Patch 14;R2;30.0216089670988;0.06456590215930813;-74.26458632441053
Patch 14;RB1;74.94111809598174;3.628187024535545;-1.664042115710762
Patch 14;RB2;74.94799438308598;5.914241914433016;-2.566606018232087
Patch 14;V1;62.038936122831586;21.00890854960058;-9.459927897033094
Patch 14;V2;68.53384476610634;12.880096919815564;-5.591631188907531
Patch 15;B1;74.84349177524419;22.77090070337978;-8.863678634441241
Patch 15;B2;71.8102271054715;27.46093307227604;-11.051449761586563
Patch 15;C;63.92835361527624;-1.9539770889954178;-15.671670438154916
Patch 15;DR1;38.91398180039923;0.020452826520717116;-72.2795078466178
Patch 15;DR2;39.21723838228636;-1.5242893095894217;-70.43127802313005
Patch 15;FR1;40.07775556689671;-3.7238645793135627;-67.84012745274946
Patch 15;FR2;45.433840823342955;-9.433982318005075;-58.78758754480431
Patch 15;FR3;45.663313850684396;-7.203689781898392;-58.59007851070304
Patch 15;G1;57.89444063493346;-26.170669449732177;-17.19388604506409
Patch 15;G2;54.16598721378912;-22.716457224694008;-18.879079601524506
Patch 15;L;47.32777608411824;-27.864865518614057;-37.606554965844396
Patch 15;OR;36.227779686840684;-0.42566712562089326;-51.54010880169941
Patch 15;PC_A;39.15286271673266;-5.510626361121207;-63.25521475174853
Patch 15;R1;36.37079116923679;-0.08279486085671639;-64.66287316329662
Patch 15;R2;37.403800338210246;0.1940025337605622;-71.63779240459489
